chr	num
A 	 3491
B 	 1446
C 	 431
D 	 3651
E 	 9892
F 	 392
G 	 1003
H 	 2997
I 	 455
J 	 347
K 	 434
L 	 8411
M 	 410
N 	 4220
O 	 439
P 	 371
Q 	 811
R 	 5502
S 	 435
T 	 7221
U 	 430
V 	 430
W 	 439
X 	 460
Y 	 390
Z 	 434
a 	 2110
b 	 1008
c 	 3959
d 	 1402
e 	 1899
f 	 3355
g 	 393
h 	 832
i 	 4339
j 	 1057
k 	 415
l 	 1607
m 	 3158
n 	 3143
o 	 9910
p 	 2944
q 	 402
r 	 2032
s 	 8660
t 	 3576
u 	 4785
v 	 1405
w 	 1341
x 	 438
y 	 1435
z 	 419
0 	 5534
1 	 6008
2 	 5321
3 	 5592
4 	 5114
5 	 4603
6 	 5236
7 	 5589
8 	 5262
9 	 5190
174415 total images processed.
